backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,urls,usd_pledged,location,blurb_length,duration
10,fashion/accessories,US,489556693,USD,False,300.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/489556693/motivational-steven-universe-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/489556693/motivational-steven-universe-pins/rewards'}",264.0,"Tokyo, Japan",10,33
8,fashion/accessories,CA,1974890258,CAD,False,700.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1974890258/floral-enamel-pin-series?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1974890258/floral-enamel-pin-series/rewards'}",130.27353440000002,"Mount Pearl, Canada",19,30
0,fashion/accessories,FR,1935476002,EUR,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1935476002/lulu-in-her-necklase-polly-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1935476002/lulu-in-her-necklase-polly-pins/rewards'}",0.0,"François, France",9,30
34,fashion/accessories,US,1852688632,USD,False,1400.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1852688632/hard-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1852688632/hard-enamel-pins/rewards'}",865.0,"Sacramento, CA",8,21
6,fashion/accessories,SG,1915988532,SGD,False,1000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1915988532/personality-cat-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1915988532/personality-cat-enamel-pin/rewards'}",121.10189049,"Singapore, Singapore",18,28
20,fashion/accessories,US,1285761564,USD,False,280.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1285761564/bird-nerd-patches?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1285761564/bird-nerd-patches/rewards'}",364.0,"Toms River, NJ",11,30
1,fashion/accessories,US,794252721,USD,False,10000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/794252721/walla-walla-wine-purses-by-kauai-rose-carry-bottle?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/794252721/walla-walla-wine-purses-by-kauai-rose-carry-bottle/rewards'}",31.0,"Walla Walla, WA",21,30
36,fashion/accessories,GB,1716966811,GBP,False,450.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1716966811/official-mermaid-in-a-manhole-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1716966811/official-mermaid-in-a-manhole-enamel-pin/rewards'}",797.68472608,"Edinburgh, UK",21,30
21,fashion/accessories,US,1697551123,USD,False,1080.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1697551123/zodiac-constellation-chain-pins-series?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1697551123/zodiac-constellation-chain-pins-series/rewards'}",522.0,"Los Angeles, CA",20,30
4,fashion/accessories,IT,85304968,EUR,False,3000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/85304968/loto-nero-new-ties-and-bow-ties?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/85304968/loto-nero-new-ties-and-bow-ties/rewards'}",201.23123706,"Italia, Italy",17,39
71,fashion/accessories,GB,385711367,GBP,False,400.0,False,False,live,"{'project': 'https://www.kickstarter.com/projects/jezhawk/saluki-totem-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/jezhawk/saluki-totem-enamel-pin/rewards'}",1980.0181368,"Cardigan, UK",25,15
35,fashion/accessories,US,997199169,USD,False,6000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/997199169/sally-forth-into-2018-by-helping-us-expand-our-bus?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/997199169/sally-forth-into-2018-by-helping-us-expand-our-bus/rewards'}",1855.0,"Frederick, MD",23,27
