backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
173,4,21,1005778651,13,0,-0.03314860053824468,1,0,live,5530.0,7307,-1.3125733968850344,-0.2839224715204801
20,9,21,1944547660,13,0,-0.036706344486005994,1,0,live,1225.0,5829,0.957447080855413,-0.2839224715204801
3,7,21,1697818232,13,0,-0.03521705632182684,1,0,live,130.0,2660,-0.6934769029558214,-0.2839224715204801
6,7,1,1058666071,0,0,-0.03702823776534498,1,0,live,255.44917755,12428,0.33835058692620007,-0.3625282985757909
61,0,9,898237900,5,0,-0.03746487874014742,1,0,live,1546.33700676,13759,-0.07438040902660854,-0.4411341256311016
13,0,21,1995542179,13,0,-0.03678908271734928,1,0,live,458.0,10457,0.5447160849026044,-0.9913749150182769
6,7,21,551081781,13,0,-0.03707866652705078,1,0,live,250.0,8506,0.5447160849026044,-0.048104990354547884
2,0,21,662597408,13,0,-0.03687182094869256,1,0,live,40.0,2167,-0.8998424009322258,-0.2839224715204801
2,7,21,1653560627,13,0,-0.037285512105408994,1,0,live,28.0,8632,-2.1380353887906516,-0.2839224715204801
0,9,18,798161750,10,0,-0.03678701411263688,1,0,live,0.0,7651,0.957447080855413,-0.2839224715204801
5,4,21,2130775105,13,0,-0.03749235768376721,1,0,live,260.0,7307,0.33835058692620007,-0.12671081740985862
22,4,21,2080519365,13,0,-0.0360444386352597,1,0,live,1086.5,11022,0.957447080855413,-0.2839224715204801
24,4,21,120457780,13,0,-0.03765783414645379,1,0,live,607.0,11301,-0.07438040902660854,-0.2839224715204801
622,0,21,1168282673,13,0,-0.03190752706809538,1,0,live,32334.0,2660,-1.5189388948614386,-0.12671081740985862
0,0,15,389328440,8,0,-0.02919270433551905,1,0,live,0.0,12583,0.7510815828790086,-0.2839224715204801
12,0,21,1273361603,13,0,-0.03687182094869256,1,0,live,1185.0,11125,-1.1062078989086301,-1.0699807420735876
55,4,9,1211824884,5,0,-0.036674033478471625,1,0,live,2482.35235609,12380,-0.07438040902660854,-0.2839224715204801
0,7,10,1740681399,6,0,-0.03717003791366712,1,0,live,0.0,5680,0.7510815828790086,-0.2839224715204801
